#w_matsubara  G1_Re   G1_Im   G2_Re   G2_Im   G3_Re   G3_Im   G4_Re   G4_Im   
 36.0654837  0.0024737 -0.0268393  0.0008017 -0.0270834  0.0001628 -0.0000213 -0.0005401 -0.0278523
 36.3168111  0.0025287 -0.0271644  0.0010515 -0.0271304  0.0001388  0.0000197 -0.0005365 -0.0272313
 36.5681385  0.0018639 -0.0274807  0.0005652 -0.0266708  0.0001799  0.0002711 -0.0007002 -0.0269599
 36.8194659  0.0019721 -0.0262080  0.0012361 -0.0266916  0.0001201 -0.0002493 -0.0006162 -0.0273569
 37.0707933  0.0019817 -0.0264771  0.0014246 -0.0265846  0.0000744 -0.0003276 -0.0005605 -0.0268087
 37.3221207  0.0017129 -0.0262929  0.0011841 -0.0265234 -0.0001393  0.0001897 -0.0008766 -0.0261058
 37.5734481  0.0019289 -0.0259346  0.0008859 -0.0264031  0.0000188 -0.0001314 -0.0008718 -0.0260228
 37.8247755  0.0018381 -0.0260672  0.0007716 -0.0260583 -0.0003018 -0.0001587 -0.0005414 -0.0257200
 38.0761030  0.0024696 -0.0257919  0.0014069 -0.0258557  0.0005662 -0.0000465 -0.0003565 -0.0262335
 38.3274304  0.0025351 -0.0253821  0.0011964 -0.0260233  0.0001240  0.0004394 -0.0006357 -0.0254596
 38.5787578  0.0009110 -0.0251288  0.0013889 -0.0252331  0.0002926  0.0002315 -0.0003102 -0.0253421
 38.8300852  0.0024018 -0.0248983  0.0010626 -0.0254079  0.0003064 -0.0000608 -0.0006051 -0.0254075
 39.0814126  0.0022519 -0.0248637  0.0010795 -0.0248735  0.0001948  0.0001420 -0.0008201 -0.0249361
 39.3327400  0.0018504 -0.0246624  0.0007676 -0.0253388  0.0000214  0.0001586 -0.0002927 -0.0249845
 39.5840674  0.0018832 -0.0252362  0.0006804 -0.0248556  0.0001451  0.0002126 -0.0008103 -0.0246402
 39.8353948  0.0020566 -0.0245884  0.0007541 -0.0246353 -0.0001759  0.0000502 -0.0004829 -0.0240919
 40.0867223  0.0013400 -0.0249482  0.0006223 -0.0238935 -0.0000277 -0.0002381 -0.0012369 -0.0243748
